filename,total_pages,max_page_num,mean_vector,max_vector,file_url,hover_text,mean_umap_1,mean_umap_2,max_umap_1,max_umap_2,cluster_mean,cluster_max,cluster_label_mean,cluster_label_max
0000010680,1,1,,,https://pdf.hres.ca/noc_pm/0000010680.PDF,Document: 0000010680<br>Pages: 1<br>Click to open file,1.5305964255589761,9.107512852572697,-8.866412664680576,4.796724760505503,4,4,Cluster 4,Cluster 4
0000010688,1,1,,,https://pdf.hres.ca/noc_pm/0000010688.PDF,Document: 0000010688<br>Pages: 1<br>Click to open file,1.5914712006110467,8.826300045871037,-8.69200756671915,4.538664305183238,4,4,Cluster 4,Cluster 4
0000010780,1,1,,,https://pdf.hres.ca/noc_pm/0000010780.PDF,Document: 0000010780<br>Pages: 1<br>Click to open file,1.5972372645396509,8.845907589816349,-8.8035769713212,4.549354994270152,4,4,Cluster 4,Cluster 4
0000010844,1,1,,,https://pdf.hres.ca/noc_pm/0000010844.PDF,Document: 0000010844<br>Pages: 1<br>Click to open file,1.4771537685651102,9.145458599948185,-8.933919454841709,4.74193187949354,4,4,Cluster 4,Cluster 4
0000010982,1,1,,,https://pdf.hres.ca/noc_pm/0000010982.PDF,Document: 0000010982<br>Pages: 1<br>Click to open file,-0.6916972940903388,8.056814572238224,-9.711019064216709,6.665004217597788,2,2,Cluster 2,Cluster 2
0000011071,1,1,,,https://pdf.hres.ca/noc_pm/0000011071.PDF,Document: 0000011071<br>Pages: 1<br>Click to open file,1.5714311951655664,8.620368382357853,-8.445687795906162,4.349934542152232,4,4,Cluster 4,Cluster 4
0000011131,1,1,,,https://pdf.hres.ca/noc_pm/0000011131.PDF,Document: 0000011131<br>Pages: 1<br>Click to open file,1.4438743198174753,9.132264515780705,-8.913985754280185,4.805346453162974,4,4,Cluster 4,Cluster 4
0000011175,1,1,,,https://pdf.hres.ca/noc_pm/0000011175.PDF,Document: 0000011175<br>Pages: 1<br>Click to open file,1.4476172232884683,9.202637097262638,-8.877194906501865,4.813266718360728,4,4,Cluster 4,Cluster 4
0000011177,1,1,,,https://pdf.hres.ca/noc_pm/0000011177.PDF,Document: 0000011177<br>Pages: 1<br>Click to open file,1.175253351952485,9.21375026407172,-8.83550408008585,5.195180857154673,4,4,Cluster 4,Cluster 4
0000011258,1,1,,,https://pdf.hres.ca/noc_pm/0000011258.PDF,Document: 0000011258<br>Pages: 1<br>Click to open file,1.1826207095641412,9.21025027933051,-8.824749494819736,5.124422991248911,4,4,Cluster 4,Cluster 4
0000011274,1,1,,,https://pdf.hres.ca/noc_pm/0000011274.PDF,Document: 0000011274<br>Pages: 1<br>Click to open file,1.4403936320800104,9.210943600558537,-8.8470978987504,4.836164438697642,4,4,Cluster 4,Cluster 4
0000011286,1,1,,,https://pdf.hres.ca/noc_pm/0000011286.PDF,Document: 0000011286<br>Pages: 1<br>Click to open file,1.5546425634879388,8.57632579507758,-8.43392994525919,4.350282156440562,4,4,Cluster 4,Cluster 4
0000011293,1,1,,,https://pdf.hres.ca/noc_pm/0000011293.PDF,Document: 0000011293<br>Pages: 1<br>Click to open file,1.0664746517199792,9.206925770663517,-8.83951904895792,5.1706642746656595,4,4,Cluster 4,Cluster 4
0000011378,1,1,,,https://pdf.hres.ca/noc_pm/0000011378.PDF,Document: 0000011378<br>Pages: 1<br>Click to open file,-0.7253693884354315,8.05880584421088,-9.69116642597208,6.705546343299693,2,2,Cluster 2,Cluster 2
0000011455,1,1,,,https://pdf.hres.ca/noc_pm/0000011455.PDF,Document: 0000011455<br>Pages: 1<br>Click to open file,1.5475346797961511,9.04807700815131,-8.792637373237705,4.653501951667613,4,4,Cluster 4,Cluster 4
